major,average lecture time (one day) - lowerdiv,average num of days a week - lowerdiv,average lecture time (one week) - lowerdiv,average lecture time (one day) - upperdiv,average num of days a week - upperdiv,average lecture time (one week) - upperdiv
,,,,,,
Bioengineering (BIOENGR),0.0,0.0,0.0,110.0,1.93,212.14
Islamic Studies (ISLM ST),0.0,0.0,0.0,75.0,2.0,150.0
Life Sciences (LIFESCI),64.58,2.42,156.08,92.5,1.5,138.75
Education (EDUC),110.0,1.0,110.0,151.19,1.19,179.99
Management-Master of Financial Engineering (MGMTMFE),0.0,0.0,0.0,0.0,0.0,0.0
Music History (MSC HST),110.0,1.67,183.33,135.71,1.43,193.88
Engineering (ENGR),50.0,1.0,50.0,110.0,2.0,220.0
Civic Engagement (CIVIC),0.0,0.0,0.0,170.0,1.0,170.0
Conservation of Archaeological and Ethnographic Materials (CAEM),0.0,0.0,0.0,0.0,0.0,0.0
International Development Studies (INTL DV),0.0,0.0,0.0,120.0,1.4,168.0
Latin American Studies (LATN AM),0.0,0.0,0.0,0.0,0.0,0.0
Jewish Studies (JEWISH),0.0,0.0,0.0,89.0,2.0,178.0
Indo-European Studies (I E STD),75.0,2.0,150.0,75.0,2.0,150.0
Southeast Asian (SEASIAN),75.0,2.0,150.0,0.0,0.0,0.0
Aerospace Studies (AERO ST),50.0,1.0,50.0,170.0,1.0,170.0
Hungarian (HNGAR),0.0,0.0,0.0,80.0,2.0,160.0
Turkic Languages (TURKIC),0.0,0.0,0.0,110.0,3.0,330.0
Neurobiology (NEURBIO),0.0,0.0,0.0,107.5,1.5,161.25
Mathematics (MATH),55.0,2.69,147.81,60.0,2.81,168.57
"Earth, Planetary, and Space Sciences (EPS SCI)",70.0,2.2,154.0,92.08,1.92,176.49
Disability Studies (DIS STD),0.0,0.0,0.0,85.0,1.5,127.5
Public Policy (PUB PLC),140.0,1.0,140.0,122.0,1.6,195.2
Scandinavian (SCAND),77.0,2.0,154.0,98.75,1.75,172.81
Environmental Health Sciences (ENV HLT),0.0,0.0,0.0,110.0,2.0,220.0
Iranian,110.0,3.0,330.0,76.43,2.29,174.69
Computer Science (COM SCI),110.0,2.0,220.0,110.0,1.95,214.76
Ukrainian (UKRN),0.0,0.0,0.0,0.0,0.0,0.0
Statistics (STATS),62.5,2.5,156.25,50.0,2.6,130.0
Electrical Engineering (EL ENGR),0.0,0.0,0.0,0.0,0.0,0.0
Sociology (SOCIOL),69.29,1.57,108.88,108.6,1.64,178.1
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies (LGBTQS)",0.0,0.0,0.0,150.0,1.67,250.0
Civil and Environmental Engineering (C&EE),110.0,1.0,110.0,92.35,1.94,179.27
Neuroscience (Graduate) (NEURO),0.0,0.0,0.0,0.0,0.0,0.0
Political Science (POL SCI),70.0,2.2,154.0,122.2,1.63,199.68
Italian,66.67,2.67,177.78,75.0,2.0,150.0
Art,222.5,1.75,389.38,215.45,1.73,372.15
Nursing,95.0,1.5,142.5,200.0,1.0,200.0
University Studies (UNIV ST),110.0,1.0,110.0,0.0,0.0,0.0
History (HIST),123.91,1.43,177.79,98.41,1.89,185.89
Graduate Student Professional Development (GRAD PD),0.0,0.0,0.0,0.0,0.0,0.0
Psychology (PSYCH),101.0,1.8,181.8,86.35,1.75,151.12
Chinese (CHIN),75.0,2.0,150.0,75.0,2.0,150.0
Vietnamese (VIETMSE),75.0,2.0,150.0,75.0,2.0,150.0
Global Health (GLB HLT),0.0,0.0,0.0,75.0,2.0,150.0
Chemistry and Biochemistry (CHEM),56.05,2.11,118.01,68.46,2.54,173.79
Physics and Biology in Medicine (PBMED),0.0,0.0,0.0,0.0,0.0,0.0
Physiological Science (PHYSCI),50.0,3.0,150.0,108.21,1.79,193.24
Korean (KOREA),75.0,2.0,150.0,85.56,1.89,161.6
Middle Eastern Studies (M E STD),75.0,2.0,150.0,75.0,2.0,150.0
Art History (ART HIS),75.0,2.0,150.0,82.67,1.8,148.8
